text,label
"Finados: Para cuidar da saudade plante uma árvore 🌳,Fake
Elaine de Itueta (MG)   Bacia do Rio Doce   planta uma árvor… https://t.co/vUGCG3tAwX",Fake

"PARA #Bologna eles criaram clínicas para assistir os doentes #Covid dar primeiros sintomas Nada caro ou inviável:… https://t.co/UdDHcJ93rF",Fake

PCP mantém realização do congresso de novembro https://t.co/ZYuSK8sUxS #Covid 19 #PCP #Política,Fake

Homem de 68 anos detido por violação de confinamento em Ponte de Lima https://t.co/G9s18SNE3h #Covid 19 #GNR #PonteDeLima,TRUE

Hoje não estivemos nas ruas em respeito as 2211 famílias que perderam seus entes queridos em Sergipe. A Pandemia nã… https://t.co/Ynra2jPXfY,Fake

"Meses para se prepararem mas anda aqui tudo ó pai ó pai. Continuem a votar nestes ""só decido o que me dá votos"" #Covid #Costa #PS",Fake

Governo recua na proibição das feiras. Passam a ser as câmaras a decidir https://t.co/kQFqihCXzr #Covid 19 #EmDestaque #feiras,Fake

"Veja como a #tecnologia pode ser muito útil 🙂,Fake
#tech #science #saude #health #COVID19 #COVID #coronavirus #MIT… https://t.co/rkglYbQYdG",Fake

"Em março meu voo foi cancelado pelo #Corona dias antes a @LATAM_BRA me mandou um e mail avisando que teria uma pas… https://t.co/ggKWMEgjfA",Fake

⚠️ INFORMAÇÃO ⚠️ confira o boletim epidemiológico de Varginha publicado pela prefeitura   02/11. #itatiaiasulmg… https://t.co/Pga7OkQnwr,Fake

Apreendidos artigos pirotécnicos a adepto do Vitória SC https://t.co/9rEcLUFYiH #Covid 19 #Futebol #Guimarães,Fake

"A diretora geral da Saúde Graça Freitas disse hoje que é preciso reduzir contactos mas sem deixar de viver trab… https://t.co/kj1T6JZIIn",TRUE

#Río de Janeiro suspende #Carnaval 2021 por #Covid 19,TRUE

"“Temos de continuar a viver mas diminuir o número de contactos” https://t.co/dY2UFecGSQ #Covid 19 #EmDestaque #GraçaFreitas",Fake

DGS considera escolas “locais relativamente seguros” e descarta novas regras https://t.co/iMZfmeUfqH #Covid 19 #Educação #GraçaFreitas,Fake

CDS disponível para votar a favor de estado de emergência “minimalista” https://t.co/nnPz4Q8Zuo #Covid 19 #Política,TRUE

"Esperar conscientização das pessoas no Brasil é perda de tempo. Tem que ter lei e muita fiscalização. Posteriormen… https://t.co/gRU34ZoXOi",Fake

"Dados oficiais da situação epidemiológica da #COVID 19 em #Moçambique relativos ao dia de hoje 02 de Novembro. https://t.co/WKs6ucDPJi",Fake

Salve vidas! Não se exponha nem coloque outras pessoas em situação de risco de contaminação pelo coronavírus,TRUE

Guimarães aumenta para 60 número de camas na estrutura de retaguarda https://t.co/hS4kzDS7kJ #Covid 19 #Guimarães,Fake

"@GovSC  @scflorianopolis : Hoje aumentou em 62% os casos de COVID 19 em relação há 14 dias atrás. Por coincidência… https://t.co/g7HfDLGImK",TRUE

"Casamento não é fácil. Casamento na quarentena menos ainda... Mas seguimos... #casamento #relacionamento #casal… https://t.co/go9XTuzYXG",Fake

📺 Por causa da pandemia da #Covid 19 a celebração de Dia de #Finados teve restrições em todo o país. Algumas cidade… https://t.co/jTn5xhoiHH,TRUE

@GovSC  @scflorianopolis : UTIs dos hospitais lotadas e muitas pessoas estão morrendo em SC. Nem governadora e nem… https://t.co/pKHcsDVl3i,TRUE

Criada página nas redes sociais para ajudar feirantes de Viana do Castelo https://t.co/hW3dglVlAZ #Covid 19 #feiras #VianaDoCastelo,Fake

"📝 @G_Caballero_M: “Apoiaremos as medidas da Xunta fronte á #covid pero Feijóo ten que deixar de pegarse a Ayuso”… https://t.co/OvNwDTKx7m",Fake

"@GovSC  @scflorianopolis :Governo de SC e prefeito de Florianópolis liberaram protocolos/leis/etc mas não tem fisc… https://t.co/HZurj0CQX2",TRUE

Caminha cancela eventos até fevereiro de 2021 https://t.co/SZmiBfplv4 #Caminha #Covid 19 #EmDestaque,TRUE

"Mooi reportage: #NPORadio1  #valente  @esme_wiegman 
#daklozen #dakloze #dakloosheid #dakloos #Corona 
https://t.co/huJUbDj6Kp",Fake

"Palermo 2 nov.  #Circo #CircoDarixMartini #CircoMirandaOrfei #circoorfei #circus #cirque #coronavirus #covid… https://t.co/wTl95sVOLu",Fake

"Atualização #COVID19 #Brasil
Atualização: 02/11/2020 15:47:20 UTC
Casos: 5.545.705
Casos hoje: 0
Mortes: 160.104
M… https://t.co/1XjNtbbQfu",TRUE

"Atualização #COVID19 Mundo
Atualização: 02/11/2020 15:57:22 UTC
Casos: 46.997.146
Casos hoje: 191.978
Mortes: 1.20… https://t.co/qyJK0obzQe",TRUE

"Dr @OsmarTerra  a voz que o Brasil deveria ter ouvido.
#COVID19  #COVID  #coronavirus https://t.co/l6AwVzUKTE",Fake

António Costa pediu declaração do Estado de Emergência https://t.co/eoSVQU8wxv #AntónioCosta #covid 19 #marcelo,TRUE

"Se o brasileiro fosse igual flamenguista quando perde e fica quietinho em casa não existia mais #Covid no Brasil 😂",TRUE

TVR Noticias   #Covid 19 Marilia SP https://t.co/o4gV9mtzOh via @YouTube,Fake

"Hoje Dia de Finados não haverá campanha nas ruas. E a melhor forma de respeitar quem se foi é trabalhar por uma… https://t.co/d0TF9iefP7",Fake

"#máscara da #Varig  confeccionada c tecido  #Oxford e o forro e #brim de algodão 
O Elástico é ajustável
$18.00 
Br… https://t.co/qu8uN97SMI",TRUE

Mangos im #corona #Test 👍,Fake

Portugal registou hoje um novo máximo de pessoas internadas com civid 19 em Unidades de Cuidados Intensivos (UCI) d…,TRUE

Portugal bate novo máximo de internados em cuidados intensivos https://t.co/np86EVPrB2 #Covid 19 #EmDestaque #Saúde,TRUE

"Covid 19: Mais 46 mortos 2.506 infetados e 1.523 recuperados no país https://t.co/ejB7wKkTfB #Covid 19 #EmDestaque #Saúde",TRUE

"Mortos por #covid a subir bastante. Era´ interessante saber se das outras doenças ao menos não se está a morrer tanto como na 1ª.vaga.",Fake

Denominador comum das medidas de confinamento pela Europa nesta temporada 2020/2021 de #covid 19: escolas e creches…,TRUE

"@GauchinhaB38 @OsmarTerra @rrodri_one Que absurdo esse vírus não sai caminhando atrás de gente saudável. 
Não se in… https://t.co/WY0q3neOJc",Fake

"Mantenha seu ambiente protegido para manter a segurança de quem você mais ama a sua família! Entre em contato pelo… https://t.co/D0sNrqLEB3",TRUE

"Vídeo novo:
CUIDADO COM O SAQUE ANIVERSÁRIO DO FGTS https://t.co/8DishyORYn via @YouTube 
#bh #minasgerais… https://t.co/VdX6jMuKiZ",Fake

Desporto alerta para crise no setor em carta aberta ao primeiro ministro https://t.co/yyv8D7UxDW #Covid 19,Fake

"@OGlobo_Rio A tendência com as praias lotadas bares lotados e à falta de empatia é piorar !!!!!!
Infelizmente aqui… https://t.co/oIu3CNLh2x",TRUE

"O marido de uma prima morreu ontem teve covid'19 a pouco tempo e supostamente tinha se curado trabalhador saudáv… https://t.co/7ry7f3IGfY",TRUE

Recusa do teletrabalho terá de passar a ser fundamentada por escrito https://t.co/DX9gpDzTne #Covid 19 #Economia,TRUE

"Coronavírus | 9 Perguntas Sobre a Pandemia e o Covid 19
Link para o vídeo no YouTube: https://t.co/BXNLIbUjgQ… https://t.co/BD9pAyBffF",Fake

"Coronavírus | 9 Perguntas Sobre a Pandemia e o Covid 19 https://t.co/lsAOLpfejB via @YouTube 
#COVID19 #COVID",Fake

"Verdes com “reservas e dúvidas” sobre necessidade de estado de emergência https://t.co/q10yIaBF6h #""OsVerdes"" #Covid 19 #Política",TRUE

Chega recusa “confinamento total” e quer Estado a pagar perdas das empresas https://t.co/aQN7IjL41S #AndréVentura #Chega #Covid ,TRUE

Iniciativa Liberal diz que é improvável apoiar estado de emergência https://t.co/gqM2KJTaYd #Covid 19 #Política,Fake

PSD apoia estado de emergência para evitar inconstitucionalidades https://t.co/gTOG5irTMG #Covid 19 #Política #PSD,TRUE

"Barretos completa duas semanas sem óbitos por Covid. Confira: https://t.co/ak2OMPvi6h,Fake
#pandemia #barretos… https://t.co/RtIil4wpMY",Fake

Costa defende que se avalie o quadro constitucional e legal no fim da pandemia https://t.co/8Wna8wYww7 #AntónioCosta #Covid 19, TRUE

Costa defende estado de emergência com menos limitações mas mais longo https://t.co/2pHaU8NsKK #AntónioCosta #Covid 19,TRUE

"😮 Wow! Nunca pensei que na vida iria ver um post destes
Link 👇
https://t.co/TIcaS4Adjn,Fake
#burgerking #mcdonalds… https://t.co/zw5Dxa9Xlx",Fake

Anthony Fauci não está jogando o jogo de Trump.#ForaTrump #SaludMundial #Covid 19 #Pandemia #EleccionesEEUU2020… https://t.co/zGwdch0TTj,Fake

"@DouglasGarcia @fernandolelesmc Cara cadê a máscara? Tô de olho em você? Vou te dar mais uma chance tá?
#covid… https://t.co/ZqWMxBwnT2",Fake

Covid 19: Centro de Rastreio Móvel da Maia reabre quinta feira https://t.co/5JaCYVSDsj #centro #covid #maia #marcação #móvel,True

"@DouglasGarcia @fernandolelesmc Cara cadê a máscara? Tô de olho em você? Vou te dar mais uma chance tá?
#covid… https://t.co/ZqWMxBwnT2",True

"➡️ As manauaras permanecem como maioria com 529% contra o eleitorado masculino que é de 471%. Dentre eles 62% j… https://t.co/UD6LHztwue", FAKE

Valença defende recolher obrigatório “imediato” entre as 23:00 e as 06:00 https://t.co/eeuKv9DsRG #Covid 19 #EmDestaque #ManuelLopes, TRUE

Bandeira a meia haste e minuto de silêncio pelas vítimas da covid 19 https://t.co/bW60r9nJiu #AntónioCosta #Covid 19 #FerroRodrigues, FAKE

"Os desafios e potenciais da #educação à distância adotada às pressas em meio à quarentena do #Covid. #Unesco estim… https://t.co/2O682u9pMg", FAKE

"Declarações mútuas de amor cada um a seu modo... #morte #morteporcovid #covid #covidbrasil #coronavirus… https://t.co/gdNsOMmLiJ", FAKE

"Vacina da gripe pode diminuir o risco de pegar covid 19 de acordo com estudo feito na Holanda. Profissionais da ár… https://t.co/U1Xmf7i9RZ", TRUE

"Homenageamos as pessoas especiais que não estão aqui entre nós principalmente as vítimas do COVID 19. 
O PDT prest… https://t.co/pWJl2GWMXQ", FAKE

"Portugal assinala hoje um dia de luto nacional em homenagem a todos os falecidos em especial às vítimas de covid 1… https://t.co/Lar32ExxIJ", TRUE

"Cerca de 150 alunos do 1.º ciclo do Colégio Rainha Santa Isabel em Coimbra estão em isolamento profilático após t… https://t.co/XX9y5zpZ2e", TRUE

Minha maior prioridade no próximo ano é fazer parceria com 🇲🇿 para garantir que ele possa aproveitar as oportunidad… https://t.co/u2gghdGNWx, FAKE

"Ainda nao acabou vamos aguentar mais um pouco continue usando mascaras enchem as vasilhas com alcool em gel.… https://t.co/qSHp7Edrr0", TRUE

"BOA NOTÍCIA: Hospital tem menor ocupação em 5 meses: https://t.co/jAdF6SaaZf #noticiaboa #coonavirus #covid… https://t.co/RTf7YNkH16", TRUE

"Biden venceria com 51% dos votos na Flórida de acordo com uma pesquisa.#EleccionesEEUU2020 #JoeBiden #TrumpOut2020… https://t.co/WKnhXd3c67", FAKE

"#DesabafoCovid
Os Pais de um colega de escola do meu filho decidiram fazer uma festa de aniversário este fim de sem… https://t.co/zHXRcEVcIL", FAKE

"""LOCKDOWN produz efeitos devastadores"" #lockdown #COVID https://t.co/1KUUKJO6KT", FAKE

@Joaninhaa24 Quando quiserem! Agora é que não dá jeito #Covid, FAKE

"Já foram identificados média de 34 #Cepas de #coronavirus indo assim como vão criar uma vacina?
#Lockdown #COVID… https://t.co/WfKoCIhDfD", TRUE

"Duas turmas do 1.º ciclo do Colégio Rainha Santa Isabel em Coimbra ficarão a ter aulas à distância nos tempos ma… https://t.co/uvgkMC5ZY5", FAKE

"Nuevo caso de #COVID 19: Real Madrid comunicó que Éder Militão dio positivo al #coronavirus. El resto del plantel… https://t.co/9d80jjK4xT", TRUE

Países europeus em face da crise covid 19.#Covid 19 #Francia #España #Aviacion #SaludMundial #Economia #Inglaterra… https://t.co/xoGlaIKFUA, TRUE

"Só por #Corona 
 no #Brasil... https://t.co/dLPonlG6dB https://t.co/Q7h5la2ej2", FAKE

Casos ativos de covid 19 sobem para 144 em Ponte de Lima (e há mais um óbito) https://t.co/CCqw8JKy6h #Covid 19 #PonteDeLima, 

Tenho visto preocupada o que está acontecendo no Brasil. Os brasileiros se comportam como se o pais já fosse zona '… https://t.co/dJhFdYQsVS, FAKE

O que acontecerá depois das eleições nos EUA?#EleccionesEEUU #ForaTrump #NoMoreTrump #TrumpOut2020 #Covid 19… https://t.co/MMaoOnovFb, FAKE


"INL de Braga lidera projeto de 61 milhões para encontrar produtos contra covid 19 https://t.co/CJ3q5Bs4jV #Braga #Covid 19 #EmDestaque", TRUE

"#FlavioBolsonaro #Bolsonaro #RACHADINHA Flávio Bolsonaro acha que engana quem? Ah engana o passa pano dos bolsomin… https://t.co/YRdS770NnC", FAKE

"@johnlucassa Tinha  tal de 
'#Corona' que faziam 
propaganda na TV... 🤔", FAKE


Saiba como uma doação de 7 milhões de dólares da USAID a um programa de Obras Locais do #Quénia ajudará as comunida… https://t.co/9Itzz0mQMw, TRUE


"ESTAMOS PRONTOS PARA O COVID   Evite faltas de hospitalizaçãodevido ao COVID 19 no ICOR Instituto do Coração… https://t.co/mSy32l2iuV", FAKE

"Lembro que no não tão distante ano passado chegamos a ficar felizes com a quantidade de feriados pra ficarmos des… https://t.co/1keaAUWZ0D", FAKE

"TRISTE MARCA
O #ReinoUnido superou neste sábado a marca de um milhão de casos do #covid. Sofrendo com a segunda ond… https://t.co/t8B9NzIsHQ", TRUE

"O Coronavírus poderia ter começado em Las Vegas. Porque o que acontece em Vegas fica em Vegas.
#humor #Corona… https://t.co/tqze9FFWTA", FAKE

Se você assistiu a essa novela vc vai ser um dos primeiros a ser vacinados contra o #covid por ser do grupo de risc… https://t.co/xmqQUe5WKn, FAKE

"@Sigmalubricants #SonicC4T for Delhi
#WeAreChallengers #RCB #playbold #ContestAlert #Banglore #Karnataka… https://t.co/NPOtFyqVYx", FAKE

Israel deu início testes humanos para vacina contra #covid 19 https://t.co/cPGqEBnXGt, TRUE

"CANDIDATO A MELHOR VÍDEO DO MÊS!!
Explicou desenhou explicou o desenho e desenhou a explicação.
Só não entende qu… https://t.co/4JuaLFD5Wl", FAKE

"Sobre sexta num restaurante mexicano 😜🌮🤤😋 ... Só preciso agora de um churrasco com aglomeração ei #Corona  larga d… https://t.co/u5QhmKI74A", FAKE

"Me sentindo num mundo paralelo onde a vacina contra o #covid já existe faz tempo tá todo mundo imune mas eu dormi… https://t.co/yW8P0bbKL8", FAKE

"@marchezan_ Oii em que porto alegre que tu vive 🤔este ano pode ter diminuído pois tinha menos pessoas carros e ônibus nas ruas #covid", FAKE

"@gatoblueee @detremura ????? Ele teve #Covid e foi tratado com cloroquina?", FAKE

Corona's Killer   Exterminador do munturo. Aquele que acaba com o vírus rapidin!  #corona #vírus #COVID… https://t.co/oB4jFDMz7z, FAKE

"Se até jesus andou com 12 machos quem sou eu para na aglomerar???? Hoje tem #AglomeraBrasil #Bolsonaro #Corona", FAKE

"#quaretena #SegundaLigaDaJusticaSDV, FAKE
Ninguém falava nada pois ninguém queria ouvir as aulas dele mesmo nós ouvíam… https://t.co/p3qz1V48h0", FAKE

Foi forca de #corona ontem, TRUE

Dia de Finados: Deus está ao lado de quem partiu e de quem ficou https://t.co/qI8Acf3XzZ #denovembro #covid… https://t.co/6P9Lr87Vk2, FAKE

"É o mundo voltando pra idade das trevas... o povinho merece mesmo....
#bozo #JairBolsonaro #covid https://t.co/l74iikINdQ", FAKE

"+160 Mil mortes no país e ainda tem ""pessoas"" desumanas fazendo aglomeração churrasco  festa. Desumanas  miseráv… https://t.co/ys1SK1yWOE", TRUE

"Atualização #COVID19 #Brasil
Atualização: 01/11/2020 23:47:11 UTC
Casos: 5.545.705
Casos hoje: 10.100
Mortes: 160.… https://t.co/zQJKNKyapi", TRUE

"Atualização #COVID19 Mundo
Atualização: 01/11/2020 23:57:11 UTC
Casos: 46.801.255
Casos hoje: 433.348
Mortes: 1.20… https://t.co/qiZZ22A77I", TRUE

"Brasil supera marca de 160 mil mortes pela covid 19
País registra 191 novos óbitos em decorrência da doença… https://t.co/NFPrzTM3zu", TRUE


"#COVID 19 Comunicado N° 251 #UnPanamáMejor🇵🇦 #ProtégetePanamá https://t.co/a7V0wBORsN
@MINSAPma", FAKE

Razão das pessoas normais quererem que o covid acabe// a minha razão: #miraculous #meme #covid https://t.co/fAoTvsgKcF, FAKE

"@belemtransito Dizem q a letalidade do #covid é baixa. Torço para q seja pq é nisso q essas pessoas apostam. Mas a… https://t.co/52pNOl7K8O", FAKE

"#Brazil #Covid death toll passes 160000 via @folha #Brasil passa de 160 mil mortes pela #Covid 19 mostra consórci… https://t.co/lBxio9ZHu7", FAKE

Escola em Santo Tirso fecha portas 14 dias após caso positivo de covid 19 https://t.co/04ubIx2s47 #Covid 19 #escolas #SantoTirso, TRUE

Barcelos com 789 casos ativos de covid 19 https://t.co/E2n07839Ts #Barcelos #Covid 19 #EmDestaque, TRUE

O gado sem máscara #covid https://t.co/UnHr0ZL2zP, FAKE

"Será que a partir do dia 29/11 teremos o segundo surto do COVID?
#eleicoes2020 #covid", FAKE

"Excelente revisão dos benefícios das máscaras na #covid 
#medicina #Science https://t.co/rYhPbwWS7d", TRUE

"Convidamos você a fazer da sua forma 1 minuto de silêncio às 20h (BR) em homenagem a todos os irmãos e irmãs q no… https://t.co/YCxQnd3dhM", FAKE

"Mais de 46 milhões de infetados e quase 12 milhões de mortos em todo o mundo   #pandemia #covid #mundo  https://t.co/g4zW53XxCk",  FAKE

"Acho que #ThisIsUs  é a primeira série que assisto a incluir o #COVID e o #BLM na sua trama. 
Gostei de como tudo f… https://t.co/mHKY1E0Ygu", TRUE

"Reforçamos os cuidados e pedimos também a todos/as nossos/as eleitores/as o uso de máscaras álcool em gel e o dev… https://t.co/AgvpNYNhX1", TRUE

"Sobre a vacina chinesa você está do lado do @jdoriajr ou do @jairbolsonaro?, FAKE
#DomingoDetremuraSDV… https://t.co/aheXUO0qTI", FAKE

"ligar ventilação/ ar condicionado ao máximo numa sala; reduz a contaminação de partículas de #covid https://t.co/u6slWXHGD1", FAKE

"🦠 Atualizações da COVID 19 no Brasil   01/11 🦠
✅ Novos casos : 10100
💔 Novas mortes : 190
😷 Total de casos confir… https://t.co/GKC4hLUQsJ", TRUE

"Atualização #COVID19 #Brasil
Atualização: 01/11/2020 19:57:09 UTC
Casos: 5.535.605
Casos hoje: 0
Mortes: 159.902
M… https://t.co/Xm5BK0emAz", FAKE

"Atualização #COVID19 Mundo
Atualização: 01/11/2020 19:47:09 UTC
Casos: 46.737.974
Casos hoje: 370.134
Mortes: 1.20… https://t.co/vFpEkY8SHb", TRUE

Ricardo Rio em isolamento após contacto com caso positivo https://t.co/3PPRUuuAr1 #Braga #Covid 19 #EmDestaque

não. espero mesmo que não tenhamos sido as únicas. #covid https://t.co/GjKtS4AdYg, TRUE

Associação de feirantes do Norte diz que suspensão de feiras será “fatal” https://t.co/03y8UubA88 #Covid 19 #feiras #Política, FAKE

"#OperaçãoCovid19 – As ações do @CmdoCMA contra a #Covid 19 não pararam. 1ª Brigada de Infantaria de Selva Boa Vist… https://t.co/eQdQStCXVs", TRUE

"Nos tempos #Corona cada pata é bem vinda para ajudar: O cachorro ambulância.
🎥 imgur / gallery / 9kaUrnU https://t.co/Y8liUoiLzV", TRUE

"Marcelo Ferro e Costa prestam homenagem aos mortos na 2.ª feira em Belém https://t.co/1k3HqvS123 #AntónioCosta #Covid 19 #FerroRodrigues", TRUE

CIGB entrega documentação para registro do Sovereign 1.#Soberana01 #CubaPorLaSalud #EEUUBloquea #CubaSalva #Covid 1… https://t.co/bfkrfCU4BP, TRUE

"Assembleia Geral Extraordinária
Convocação em 2ª Chamada.
Renato de Freitas Santos
2º Vice Presidente
#igreja… https://t.co/SLgRfOcS1m", FAKE

Veja como a pandemia afeta a população idosa! Entenda como a vacina funciona nas altas faixas etárias.… https://t.co/9nu48Z1ijo, FAKE

"Mortes por covid no mundo
001%
O cigarro mata quantos %? #Covid 19", FAKE

"As coisas estão muito mal nos hospitaismuitos já esgotaram as capacidades de internamentos e o pior do #covid aind… https://t.co/74vG9hwzJJ", TRUE


"Carne suína: ABPA investiga suspeita de contaminação de embalagens na China https://t.co/TSqmPOz1Og #Noticias… https://t.co/kwR0ckYwZV", TRUE

Hospital Santo António no Porto monta 36 camas de enfermaria no jardim para ‘não covid’ https://t.co/r5N44XHGMS #Covid 19 #Porto #Saúde, TRUE

Impacto fiscal de medidas contra Covid 19 chega a R$ 615 bilhões no ano https://t.co/K3AtBt1MSN #economia #covid, TRUE

Impossível evitar aglomeração no Carrefour bairro Morumbi #covid #desrespeito #carrefour, FAKE

"O programa ajuda na autoavaliação de Covid 19 além de monitorar o n° de casos e focos de contaminação e ganhou o p… https://t.co/gHz1LoL2Gq", TRUE

"Ministro da Saúde recebe alta após ser internado com Covid 19
Eduardo Pazuello ficou dois dias internado… https://t.co/AmACMvkk6h", TRUE

Covid 19: Castelo Branco com 11 curados nas últimas 24 horas #covid #castelobranco #idanha #rodao #ulscb https://t.co/YHkjVXZFEg, TRUE

"#COVID ⚽️ #Prevención 🩺
😔 Hai cousas que custa entender nos tempos de #pandemia que vivimos. Unha delas é que o… https://t.co/ArZgKn1yE1", FAKE

"Atualização #COVID19 #Brasil
covid mata,TRUE
Atualização: 01/11/2020 15:47:07 UTC
Casos: 5.535.605
Casos hoje: 0
Mortes: 159.902
M… https://t.co/BL4aJhRHmB", FAKE

"Atualização #COVID19 Mundo
Atualização: 01/11/2020 15:47:07 UTC
Casos: 46.552.933
Casos hoje: 185.091
Mortes: 1.20… https://t.co/HKYXy8zBgq", TRUE

"Infectologista vê risco de aumento de mortes e casos de Covid no inverno dos EUA; leia mais, #covid #inverno #eua https://t.co/szo2DUq2w0", TRUE

Pelo menos 16 infetados em surto num lar de Arcos de Valdevez https://t.co/bOYTsMI7sF #ArcosDeValdevez #Covid 19 #LaresDeIdosos, TRUE

"Vila Verde: Feira dos Vinte que remonta aos século 14 cancelada face à p https://t.co/5cG1U9lFGc #Covid 19 #FeiraDosVinte #VilaDePrado", TRUE

"Europa entrando em lockdown por conta de uma segunda onda da #covid.
Brasil não saiu nem da primeira onda. Aguardem… https://t.co/cjFqmqOUef", TRUE

"@abdalafarah Agora no RS está mais acentuada a força da #covid 19 mas lamentavelmente muita gente está colocando a #vidaemrisco.", 

"Os internamentos por covid 19 nos hospitais portugueses ultrapassaram nas últimas 24 horas os 2.000 estando agora… https://t.co/YoRS3tdqa8", TRUE

2.122 internados com covid 19 nos hospitais portugueses. É um novo máximo https://t.co/g0qBojYp7u #Covid 19 #hospitais #Saúde, TRUE

Governo prolonga interdição aos cruzeiros até 14 de novembro https://t.co/DQma42zft5 #Covid 19 #cruzeiros #Política, TRUE

Covid 19. Na última semana morreram 228 pessoas e 26655 ficaram  https://t.co/Pt3VE47a8F #atualização #boletim #casos #contagem #covid, TRUE

"Covid 19 Weekly Newsletter Edição 05 Volume 05
* Existe uma segunda onda de  #covid 19 na Europa?
* Lições da pand… https://t.co/wTPHuhbjfu", TRUE

"#Covid já custou 186 bi de euros à #França diz ministro | Mundo | Valor Econômico https://t.co/qukVQq4tYk", TRUE

"Portugal contabiliza hoje mais 37 mortos relacionados com a covid 19 e 3.062 novos casos confirmados de infeção se… https://t.co/zXHO1mGUB1", TRUE

covid mata,TRUE

ja pode sair de casa,FAKE

ja pode abracar,FAKE

so pode sair de mascara,TRUE

pode sair sem mascara,FAKE

pode abracar normalmente,FAKE

pode beijar normalmente,FAKE

vacina já está pronta,FAKE

so as que paga de cientista politica furando quarentena,FAKE

ainda to de quarentena,TRUE

a taxa de suicidio nao subiu nessa quarentena,TRUE

racao de carvao vegetal ou confeccao de tapioca,TRUE

sete meses de quarentena e nao lhe faltou nada voce e grato a deus,TRUE

paises da Europa voltando o lockdown enquanto todo mundo acha que quarentena ja saiu de moda,TRUE

saude mental e autocuidado para nao surtar na quarentena dicas muito importantes videos curiosidades saude,TRUE

nessa quarentena parece q todo mundo resolveu engravidar,FAKE

gente vou desabafar aqui estou com fobia social acho q foi culpa da quarentena,TRUE

existe um medicamento especifico para o tratamento ou a prevencao da COVID 19,FAKE

o consumo de alcool protege contra a COVID 19,FAKE

animais de estimacao podem transmitir a COVID 19 aos humanos,FAKE

a COVID 19 só é letal em idosos,FAKE

so pessoas sintomaticas transmitem a COVID 19,FAKE

covid mata,TRUE

boldo melhora os sintomas do coronavirus,FAKE

tomar cha de alho ou comer alho cru cura o novo coronavirus,FAKE

tomar suco de limao previne contra o coronavirus,FAKE

colocar roupas ou mascaras sob o sol por duas horas elimina o coronavirus,FAKE

o coronavirus e uma bacteria feita em laboratorio,FAKE

Impacto fiscal de medidas contra Covid-19 chega a R$ 615 bilhões no ano https://t.co/K3AtBt1MSN #economia #covid, TRUE

Impossível evitar aglomeração no Carrefour bairro Morumbi #covid #desrespeito #carrefour, FAKE

"O programa ajuda na autoavaliação de Covid-19  além de monitorar o n° de casos e focos de contaminação e ganhou o p… https://t.co/gHz1LoL2Gq", FAKE

